out,text
1,"Undergraduate in Business, Statistics, Computer Science, Mathematics, Engineering, or Physics (or equivalent university degree or college diploma)"
1,Strong presentation skills
1,"Experience in life insurance/wealth management, or other financial services industry (e.g., retail banking, credit card, property, and casualty insurance)"
1,Working knowledge of one or more Sun Life Canada business units
1,"Working knowledge of VBA skills, Python, Tableau, or another BI tool"
1,Bilingual (English/French)
0,What's in it for you?
0,15 vacation days per year
0,Flexible Benefits from the day you join to meet the needs of you and your family
0,"Pension, stock and savings programs to help build and enhance your future financial security"
0,The opportunity to move along a variety of career paths with amazing networking potential
0,"The Base Pay range is for the primary location for which the job is posted. It may vary depending on the work location of the successful candidate or other factors. In addition to Base Pay, eligible Sun Life employees participate in various incentive plans, payment under which is discretionary and subject to individual and company performance. Certain sales focused roles have sales incentive plans based on individual or group sales results."
0,"Diversity and inclusion have always been at the core of our values at Sun Life. A diverse workforce with wide perspectives and creative ideas benefits our clients, the communities where we operate and all of us as colleagues. We welcome applications from qualified individuals from all backgrounds."
0,Persons with disabilities who need accommodation in the application process or those needing job postings in an alternative format may e-mail a request to thebrightside@sunlife.com .
0,At Sun Life we strive to create a flexible work environment where our employees are empowered to do their best work. Several flexible work options are available and can be discussed throughout the selection process depending on the role requirements and individual needs.
0,We thank all applicants for showing an interest in this position. Only those selected for an interview will be contacted.
0,Salary Range
0,"49,400/49 400 - 80,800/80 800"
0,Job Category
0,Advanced Analytics
0,Posting End Date
0,22/09/2021
0,About the job
0,Company Description
0,"Dropbox is a leading global collaboration platform that's transforming the way people work together, from the smallest business to the largest enterprise. With more than 500 million registered users across more than 180 countries, our mission is to design a more enlightened way of working. From our headquarters in San Francisco to eight dedicated Studios and a worldwide team of employees who choose where they work best, our Virtual First approach is leading the way into the future of work."
0,Team Description
0,"At Dropbox, we aim to put the customer at the center of everything we do. With over 500 million users, the Customer Experience (CX) team is at the forefront of simplifying how our users and customers interact with Dropbox. We focus on solutions that work for our customers as well as implementing technologies that will simplify our customers’ journey. We bring the customer voice across the organization to ensure Dropbox delivers the best possible customer experience."
0,Role Description 
0,"The Customer Intelligence team builds analytical solutions and generates insights to drive strategy within the Customer Experience organization at Dropbox. Using your technical skills and creativity, and leveraging the best open source and proprietary tools available, you will develop cutting edge data pipelines, analytical tools, and reporting solutions. You’ll be involved in projects from inception to delivery, ensuring your work delivers high-quality and relevant data to intelligently grow our business. Working alongside talented analysts and data scientists, you will champion data-driven insights to add value for our stakeholders across Customer Experience."
0,"You're a self-starter with an affinity for problem-solving and deep knowledge of data, data architecture, and analytical tools and approaches. You will work with teams across Customer Experience to understand their evolving requirements, and alongside other analysts on the team to deliver impactful and innovative solutions. You'll use your creativity, curiosity, and drive to build solutions at scale, and to provide training and guidance to team members and partners."
0,Responsibilities
0,"Devise, drive, and deliver technical solutions that generate data-driven insights."
0,"Build, automate, and refactor robust, scalable data pipelines and datasets."
0,"Troubleshoot complex issues throughout the data lifecycle, identify and implement effective solutions."
0,Proactively engage with stakeholders across Customer Experience to ensure relevant and accurate delivery of business requirements.
0,"Build informative, insightful dashboards and data platforms across different domains and audiences."
0,"Create new workflow processes, associated monitoring, and alerts."
0,"Contribute to schema design, data consistency, and overall data governance."
0,Requirements 
1,"Bachelor’s degree in Computer Science, Statistics, or related field"
1,3+ years’ work experience in a data-centric role
1,Proficient SQL skills with excellent hands-on exposure to ETL principles
1,Strong hands-on experience with R and/or Python
1,Ability to tackle and solve complex technical problems with little direction
1,"Flexible and adaptable, willing to quickly learn and understand new technologies"
1,Strong communication skills
1,Strong problem solving and collaboration skills
1,Excellent debugging and troubleshooting skills
1,Preferably:
1,"Experience with Python, R, Airflow, React/JavaScript"
1,Experience with shell scripting and the Linux/Unix command line
1,"Experience with good code management practices, expertise with git"
1,"Expertise in data warehousing principles, schema design, data governance, data pipeline automation"
0,"Dropbox is an equal opportunity employer. We are a welcoming place for everyone, and we do our best to make sure all people feel supported and connected at work. A big part of that effort is our support for members and allies of internal groups like Asians at Dropbox, BlackDropboxers, Latinx, Pridebox (LGBTQ), Vets at Dropbox, Women at Dropbox, ATX Diversity (based in Austin, Texas) and the Dropbox Empowerment Network (based in Dublin, Ireland)."
0,About the job
0,Responsibilities
0,Responsibilities
0,You will be in charge of these responsibilities:
0,Data analysis
0,"Analyze Archer data to ensure consistency of referential data uses (ie: organizational, geography, legal entity) and feasibility of reporting requirements"
0,"Escalate any data issues such as duplication of records, unreportable multi selects, invalid records etc…"
0,Review impact analysis on referential or taxonomy changes
0,Perform ad hoc checks to guarantee data integrity
0,Clean and normalize the data
0,Data quality
0,Gather data quality needs with various risk teams
0,Develop automatic checks on data
0,Perform regular and automatized checks to ensure that data quality in GRC tool is good. Checks will include completeness of information as well as simple data quality checks (ie: events reported within # days)
0,Machine Learning /Artificial Intelligence
0,Identify opportunity for Machine Learning / Artificial Intelligence
0,Gather Business Requirements and needs from end users
0,Develop Proof of Concept and perform demo to end users
0,Reporting support
0,Develop reports/dashboards in BI tool (Power BI) as per reporting needs provided
0,Provide demo to end users and release to production environment
0,Profile Required
0,Profile
1,You are graduated with a Bachelor or Master’s degree in Engineering and/or Computer Science or related subject.
1,Required
1,Python or knowledge of another language (VBA/Java/C#/Javascript). Willingness to learn Python.
1,"Data analysis skills, databases & SQL"
0,A plus
1,Experience in reporting and data aggregation.
1,Experience in Machine Learning / Artificial Intelligence.
1,Experience with Business Intelligence Tool such as Microsoft Power BI or Tableau.
1,Knowledge of risk management and/or GRC tool will be extremely valued.
1,Business Analyst skills to translate business needs in requirements.
1,You are proficient in Microsoft Office.
1,You are fluent in English.
0,The VIE assignment in a nutshell
0,This VIE in Montreal is to begin as soon as possible but you need to plan 3 months between your application date and the beginning of your VIE assignment. It will last 24 months.
0,"The VIE is a specific contract, under Business France’s eligibility criteria, opened to candidates under 28 and from the member states of the European Economic Space."
0,"Please see Civiweb www.civiweb.com, in order to have more details regarding your financial indemnities."
0,"We would like to draw your attention to the fact there that your VIE mission could potentially get postponed, depending on the evolution of the health crisis and subjects to the decision made by the Crisis and Support Centre of the Ministry of Europe and Foreign Affairs (MEAE). In addition, the selected candidate will only be paid upon confirmation from Business France and arrival in the country of assignment."
0,"To facilitate the examination of your application by our English-speaking managers, we thank you for applying in English."
0,Why join us
0,"As soon as you arrive, you will be integrated into our teams and will learn every day alongside our experts, who will support you in your tasks. Gradually, you will become more independent in your projects, making this experience a real career accelerator. You will also discover all the diversity of our businesses, in a sector that is constantly evolving and innovating."
0,"At the end of your VIE, various opportunities could be offered to you, in France and abroad."
0,Business insight
0,"At Societe Generale, we are convinced that people are drivers of change, and that the world of tomorrow will be shaped by all their initiatives, from the smallest to the most ambitious."
0,"Whether you’re joining us for a period of months, years or your entire career, together we can have a positive impact on the future. Creating, daring, innovating and taking action are part of our DNA."
0,"If you too want to be directly involved, grow in a stimulating and caring environment, feel useful on a daily basis and develop or strengthen your expertise, you will feel right at home with us!"
0,Still hesitating?
0,"You should know that our employees can dedicate several days per year to solidarity actions during their working hours, including sponsoring people struggling with their orientation or professional integration, participating in the financial education of young apprentices, and sharing their skills with charities. There are many ways to get involved."
0,About the job
0,"Awesome tech is made by awesome people. And we’re always looking for new team members who bring the energy, passion, commitment, and collaboration that has made Auth0 the great company it is today."
0,"So what do we exactly build? Auth0 is an authentication and authorization platform designed by developers for developers. Basically, we make companies’ login boxes safe, secure, and seamless for anyone logging in. Our mission is to secure the world’s identities so innovators can innovate. But it’s a big mission that requires a lot of teamwork."
0,"Words, code, or people, whatever your skill, there’s a place for you here"
0,"Awesome tech is made by awesome people. And we’re always looking for new team members who bring the energy, passion, commitment, and collaboration that has made Auth0 the great company it is today."
0,"So what do we exactly build? Auth0 is an authentication and authorization platform designed by developers, for developers. Basically, we make companies’ login boxes safe, secure, and seamless for anyone logging in. Our mission is to secure the world’s identities so innovators can innovate. But it’s a big mission that requires a lot of teamwork."
0,"Words, code, or people, whatever your skill, there’s a place for you here."
0,The Data and Analytics team at Auth0 delivers the tools and technologies that enable our business teams and customers to make data driven decisions. We make data work!
0,"The Auth0 Data and Analytics team is looking for a very experienced, business savvy, articulate and creative Business Data Analyst to help deliver analytic assets (reports, dashboards) as well as one-off analyses, and insights to business partners across the organization. The analyst will also monitor key business metrics, initiate and perform deep dives where required and alert business to challenges and opportunities."
0,"As part of the Business Analytics team, the successful candidate will partner with the Data Warehouse, the Data Science team, the Enterprise Data organization and embedded analytics teams to enable business units to make data driven decisions."
0,"The ideal candidate has to be an intellectually curious perfectionist who thrives on uncovering insights hidden in data, has a consultative mindset and is used to partner with teams across an organization. He/she needs to be an excellent story-teller and easily be able to select and focus on high impact, complex data projects. The candidate will have extensive experience in managing customer expectations, delivering complex, cross departmental analytics projects on time, monitor data accuracy of the data, driving adoption and measuring impact to business."
0,This is a full-time position that is suitable for work from home.
0,Responsibilities
0,"Build a repeatable process and deliver analytics assets (reports, dashboards, KPI readouts..) to empower business teams and their leadership with insights and data driven decision making capabilities."
0,"Proactively identify, analyze and interpret trends or patterns in complex and sensitive data. Alert, inform and educate business as needed."
0,Monitor and ensure data integrity and security for business data.
0,Define best practices and templates for reporting data to business units.
0,Improve and advise on data normalization between various data sources.
0,Measure and report on KPIs for business.
0,Create an intake process for ad hoc report demands.
0,Ensure data is set up and accessible for the proper parties.
0,"Make recommendations for new metrics, techniques, and strategies to improve team performance and measurement in the future."
0,Job Requirements
1,4+ years of data analysis and knowledge of business statistics.
1,4+ years of experience writing performant SQL queries on large data sets.
1,4+ years of developing scalable reporting solutions/products that are intuitive to use.
1,"Strong knowledge of Tableau, Looker or similar BI platform."
1,"Familiarity with cloud-native databases, especially Snowflake."
1,Strong business intuition as well as outstanding written and verbal communication skills.
1,Ability to convey complex concepts and information to diverse audiences.
1,"Track record of working independently, with strong time management and organizational skills."
1,Comfort working in a globally distributed environment with a remote workforce.
1,"Experience performing complex analysis including regression, forecasting and probability modeling is a plus."
1,BA/BS in quantitative field or equivalent practical experience.
1,Prior experience in a consulting environment is desired.
0,Auth0 makes the internet safer by safeguarding billions of login transactions each month.
0,"Our team is spread across more than 35 countries and we are proud to continually be recognized as a great place to work . Culture is critical to us, and we are transparent about our vision and principles . We practice N+1>N which applies to everything from our people to how we iterate our tech; we believe in one team, one score; and we give a shit about everything we do."
0,"Research shows that candidates from underrepresented backgrounds often don’t apply unless they meet all the job criteria. We aren’t looking for someone who ticks every single box on a page; we’re looking for lifelong learners and people who can make us better with their unique experiences. If you think you’d be a great fit, then please get in touch to tell us about yourself."
0,"Auth0, recently acquired by Okta, is an Equal Employment Opportunity employer. Auth0 conducts all employment-related activities without regard to race, religion, color, national origin, age, sex, marital status, sexual orientation, disability, citizenship status, genetics, or status as a Vietnam-era special disabled and other covered veteran status, or any other characteristic protected by law. Auth0 participates in E-Verify and will confirm work authorization for candidates residing in the United States."
0,About the job
0,"Awesome tech is made by awesome people. And we’re always looking for new team members who bring the energy, passion, commitment, and collaboration that has made Auth0 the great company it is today."
0,"So what do we exactly build? Auth0 is an authentication and authorization platform designed by developers for developers. Basically, we make companies’ login boxes safe, secure, and seamless for anyone logging in. Our mission is to secure the world’s identities so innovators can innovate. But it’s a big mission that requires a lot of teamwork."
0,"Words, code, or people, whatever your skill, there’s a place for you here"
0,"Awesome tech is made by awesome people. And we’re always looking for new team members who bring the energy, passion, commitment, and collaboration that has made Auth0 the great company it is today."
0,"So what do we exactly build? Auth0 is an authentication and authorization platform designed by developers, for developers. Basically, we make companies’ login boxes safe, secure, and seamless for anyone logging in. Our mission is to secure the world’s identities so innovators can innovate. But it’s a big mission that requires a lot of teamwork."
0,"Words, code, or people, whatever your skill, there’s a place for you here."
0,The Data and Analytics team at Auth0 delivers the tools and technologies that enable our business teams and customers to make data driven decisions. We make data work!
0,"The Auth0 Data and Analytics team is looking for a very experienced, business savvy, articulate and creative Business Data Analyst to help deliver analytic assets (reports, dashboards) as well as one-off analyses, and insights to business partners across the organization. The analyst will also monitor key business metrics, initiate and perform deep dives where required and alert business to challenges and opportunities."
0,"As part of the Business Analytics team, the successful candidate will partner with the Data Warehouse, the Data Science team, the Enterprise Data organization and embedded analytics teams to enable business units to make data driven decisions."
0,"The ideal candidate has to be an intellectually curious perfectionist who thrives on uncovering insights hidden in data, has a consultative mindset and is used to partner with teams across an organization. He/she needs to be an excellent story-teller and easily be able to select and focus on high impact, complex data projects. The candidate will have extensive experience in managing customer expectations, delivering complex, cross departmental analytics projects on time, monitor data accuracy of the data, driving adoption and measuring impact to business."
0,This is a full-time position that is suitable for work from home.
0,Responsibilities
0,"Build a repeatable process and deliver analytics assets (reports, dashboards, KPI readouts..) to empower business teams and their leadership with insights and data driven decision making capabilities."
0,"Proactively identify, analyze and interpret trends or patterns in complex and sensitive data. Alert, inform and educate business as needed."
0,Monitor and ensure data integrity and security for business data.
0,Define best practices and templates for reporting data to business units.
0,Improve and advise on data normalization between various data sources.
0,Measure and report on KPIs for business.
0,Create an intake process for ad hoc report demands.
0,Ensure data is set up and accessible for the proper parties.
0,"Make recommendations for new metrics, techniques, and strategies to improve team performance and measurement in the future."
1,Job Requirements
1,4+ years of data analysis and knowledge of business statistics.
1,4+ years of experience writing performant SQL queries on large data sets.
1,4+ years of developing scalable reporting solutions/products that are intuitive to use.
1,"Strong knowledge of Tableau, Looker or similar BI platform."
1,"Familiarity with cloud-native databases, especially Snowflake."
1,Strong business intuition as well as outstanding written and verbal communication skills.
1,Ability to convey complex concepts and information to diverse audiences.
1,"Track record of working independently, with strong time management and organizational skills."
1,Comfort working in a globally distributed environment with a remote workforce.
1,"Experience performing complex analysis including regression, forecasting and probability modeling is a plus."
1,BA/BS in quantitative field or equivalent practical experience.
1,Prior experience in a consulting environment is desired.
0,Auth0 makes the internet safer by safeguarding billions of login transactions each month.
0,"Our team is spread across more than 35 countries and we are proud to continually be recognized as a great place to work . Culture is critical to us, and we are transparent about our vision and principles . We practice N+1>N which applies to everything from our people to how we iterate our tech; we believe in one team, one score; and we give a shit about everything we do."
0,"Research shows that candidates from underrepresented backgrounds often don’t apply unless they meet all the job criteria. We aren’t looking for someone who ticks every single box on a page; we’re looking for lifelong learners and people who can make us better with their unique experiences. If you think you’d be a great fit, then please get in touch to tell us about yourself."
0,"Auth0, recently acquired by Okta, is an Equal Employment Opportunity employer. Auth0 conducts all employment-related activities without regard to race, religion, color, national origin, age, sex, marital status, sexual orientation, disability, citizenship status, genetics, or status as a Vietnam-era special disabled and other covered veteran status, or any other characteristic protected by law. Auth0 participates in E-Verify and will confirm work authorization for candidates residing in the United States."
0,About the job
0,Working At CBC
0,"At the CBC, we all have a story to tell. What’s yours?"
0,"If you share our passion for Canadian storytelling and you wish to help us engage with individuals and communities across our various digital platforms, this is where you’ll want to be!"
0,"Every day, you will have an opportunity to shape the way in which Canadians see themselves reflected in our digital services. Your work will have a direct impact on how millions of Canadians from various communities connect with our products, with one another, and with the diverse voices that make our country so unique."
0,"You will have the opportunity to play a part in enlightening and entertaining Canadians through our innovative work in building the mediums that deliver our content. We are an innovative hub, where the talented professionals we work with are respected and valued for their contributions. Our product teams are vibrant and our work culture strives to achieve the highest standards of diversity and inclusion. We believe that hiring people with different career paths and backgrounds is fundamental in our shared success and in building healthy and highly performant teams. When you join our mission, you are not only shaping the vision of the CBC, but the future of our country."
0,"We know that commitment to equity, inclusion and diversity is essential to creating content that mirrors and resonates with the rich and evolving makeup of our country. We’re also committed to reaching out and connecting with our audience on multiple platforms this includes creating virtual places where communities can come together."
0,Why is this role important?
0,"The Data Analyst drives strong partnerships between Data Audience Activation, business clients and other analytics team partners. You will enable data driven decision making for various business groups by crafting scalable business solutions that retrieve and aggregate data from multiple sources and presenting it in a digestible and actionable format."
0,"Successful candidates will demonstrate a passion for data analysis, a bias for action, deep dive, attention to details, ownership and customer-obsession. We are looking for a data storyteller who can identify and interpret trends from a variety of sources, and give meaning to the numbers. A successful candidate needs excellent critical thinking skills, a fine eye for detail, practical experience as a data analyst, and solid understanding of popular data analysis tools and databases. The Data Analyst works in concert with our data audience activation and BI teams in a fast-paced environment with the goal of making data insights accessible to all. You will directly see the difference you make on customer engagement and business growth."
0,Here’s Why We Should Work Together
0,"Our digital teams’ values - collaboration, learning, and continuous improvement - embody who we are as a people-focused, digital-forward employer. We follow lean startup principles and use an Agile approach."
0,"Here at CBC Digital Strategy & Products, we want you to be happy and feel good at work. It is essential that work be a safe space where our employees are able to share their authentic selves with one another and to push each other to challenge conventions."
0,Perks You Can Look Forward To
0,"Flexible work schedules, allowing you to prioritize yourself, your family and your work;"
0,Work from home opportunities;
0,Competitive total rewards package;
0,"20% of time for innovation, learning and development; wherever your interests lie;"
0,Opportunities to work with cutting edge technology;
0,Opportunities for continued learning and professional development;
0,Opportunities to become a member of our Employee Resource Groups;
0,"A creative and dynamic work environment, where your ideas and contributions can be heard, valued and respected;"
0,A supportive management team committed to upholding the highest standards of diversity and inclusivity;
0,An environment which favours experimentation and an iterative approach in order to achieve the highest form of technical innovation.
0,How You’ll Make An Impact
0,Collect and understand reporting requirements from various stakeholder groups. Develop goals and KPIs in conjunction with each group.
0,"Create and maintain rich data visualizations using Excel, Google Analytics, Power BI and other reporting tools, with a focus on translating data for stakeholders."
0,"Compile and analyze large and diverse data sets, identifying relationships, trends, and opportunities."
0,"Support engagement activities to analyze business environments, gather business requirements and create data visualizations in support of products."
0,"Partnering with constituents to define ongoing analytics and reporting needs, ensuring that needs are documented and prioritized appropriately, and that a mid to long-term solutions delivery schedule is established."
0,"Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity, with an eye for what drives performance. Know your data and what it's telling you."
0,"Data cleaning, quality control and maintenance with attention to accuracy."
0,QA of the reporting database environment and reports.
0,"Support the data warehouse in identifying and revising reporting requirements, and to implement, modify, and maintain processes for automation."
0,"Document data cleaning, reporting, and analysis processes, and identify issues and solutions where needed."
0,"Follow established guidelines for data stewardship, report visual standards, and general best practices."
0,Support initiatives for data integrity and normalization.
0,Serve as liaison between business constituents and internal/global IT teams to provide support of existing systems and collaborate on strategic roadmaps to align business initiatives and product development.
0,Clearly communicate your results to different audiences at appropriate levels
0,"Are comfortable using diverse platforms, data stores, and analysis tools"
0,"Have energy for learning new things, and for sharing what is learned"
0,Work collaboratively and creatively
0,Who You Are
1,"Possess 5 years of related experience in business analytics, business intelligence and data analysis in various BI technologies, patterns and practices."
